Team,Pts
Milwaukee Bucks,117.75903614457832
Dallas Mavericks,117.01234567901234
Houston Rockets,116.35714285714286
Los Angeles Clippers,115.98823529411764
New Orleans Pelicans,115.84722222222223
Portland Trail Blazers,114.5875
Washington Wizards,114.41666666666667
San Antonio Spurs,114.05633802816901
Phoenix Suns,113.61643835616438
Los Angeles Lakers,113.29347826086956
Minnesota Timberwolves,113.25
Boston Celtics,112.8314606741573
Memphis Grizzlies,112.75675675675676
Toronto Raptors,112.3012048192771
Atlanta Hawks,111.76119402985074
Miami Heat,111.58510638297872
Utah Jazz,111.48101265822785
Brooklyn Nets,111.46052631578948
Denver Nuggets,110.48913043478261
Philadelphia 76ers,110.20779220779221
Sacramento Kings,110.09722222222223
Oklahoma City Thunder,109.84810126582279
Indiana Pacers,108.98701298701299
Orlando Magic,107.25641025641026
Detroit Pistons,107.24242424242425
Cleveland Cavaliers,106.8923076923077
Chicago Bulls,106.84615384615384
Golden State Warriors,106.33846153846154
New York Knicks,105.8030303030303
Charlotte Hornets,102.87692307692308
