Team,Rating
GoldenState,82.82062955
Cleveland,2.404786575
Boston,2.457837009
SanAntonio,4.705837392
OklahomaCity,3.935152621
Houston,4.632432824
Minnesota,1.253814306
Milwaukee,-0.15041062
Washington,0.458940105
Toronto,0.11043991
LAClippers,-0.937371011
Philadelphia,-3.581591213
Denver,0.128228528
NewOrleans,-2.590053758
Miami,-2.287912214
Utah,-1.978519663
LALakers,-5.43644453
Portland,-1.448000948
Memphis,-3.722777421
Dallas,-4.386666041
Charlotte,-2.564681898
Detroit,-4.280856108
NewYork,-7.848011428
Phoenix,-7.788301732
Sacramento,-8.312447491
Indiana,-7.435001096
Atlanta,-10.23489167
Orlando,-6.533547177
Brooklyn,-9.364779321
Chicago,-12.02583347
